# orig_data & Leave1Out
## FBCSP + classifier
逻辑斯蒂回归分类
| abbr.                                      | test_score       | train_score      | params                                                                                                               |
| [8, 12, 16, 20, 24, 28, 32]_8_euclid_6     | 0.561 (+/-0.026) | 0.676 (+/-0.028) | {'FBCSP__band': [8, 12, 16, 20, 24, 28, 32], 'FBCSP__k': 8, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6}     |
| [8, 12, 16, 20, 24, 28, 32]_8_riemann_6    | 0.561 (+/-0.026) | 0.676 (+/-0.028) | {'FBCSP__band': [8, 12, 16, 20, 24, 28, 32], 'FBCSP__k': 8, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6}    |
| [8, 12]_2_logeuclid_6                      | 0.557 (+/-0.061) | 0.645 (+/-0.018) | {'FBCSP__band': [8, 12], 'FBCSP__k': 2, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6}                      |
| [8, 12]_2_riemann_6                        | 0.557 (+/-0.061) | 0.645 (+/-0.018) | {'FBCSP__band': [8, 12], 'FBCSP__k': 2, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6}                        |
| [8, 12]_2_euclid_6                         | 0.557 (+/-0.061) | 0.645 (+/-0.018) | {'FBCSP__band': [8, 12], 'FBCSP__k': 2, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6}                         |
| [8, 12, 16, 20]_12_riemann_6               | 0.554 (+/-0.041) | 0.646 (+/-0.026) | {'FBCSP__band': [8, 12, 16, 20], 'FBCSP__k': 12, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6}               |
| [8, 12, 16, 20]_12_euclid_6                | 0.554 (+/-0.041) | 0.646 (+/-0.026) | {'FBCSP__band': [8, 12, 16, 20], 'FBCSP__k': 12, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6}                |
| [8, 12, 16, 20]_12_logeuclid_6             | 0.554 (+/-0.041) | 0.646 (+/-0.026) | {'FBCSP__band': [8, 12, 16, 20], 'FBCSP__k': 12, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6}             |
| [8, 12, 16, 20, 24, 28, 32]_16_logeuclid_6 | 0.552 (+/-0.039) | 0.724 (+/-0.020) | {'FBCSP__band': [8, 12, 16, 20, 24, 28, 32], 'FBCSP__k': 16, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6} |
| [8, 12, 16, 20, 24, 28, 32]_16_euclid_6    | 0.552 (+/-0.039) | 0.724 (+/-0.020) | {'FBCSP__band': [8, 12, 16, 20, 24, 28, 32], 'FBCSP__k': 16, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6}    |
| [8, 12, 16, 20, 24, 28, 32]_16_riemann_6   | 0.552 (+/-0.039) | 0.724 (+/-0.020) | {'FBCSP__band': [8, 12, 16, 20, 24, 28, 32], 'FBCSP__k': 16, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6}   |
| [8, 12, 16, 20, 24, 28, 32]_2_riemann_6    | 0.549 (+/-0.035) | 0.623 (+/-0.026) | {'FBCSP__band': [8, 12, 16, 20, 24, 28, 32], 'FBCSP__k': 2, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6}    |
| [8, 12, 16, 20, 24, 28, 32]_2_euclid_6     | 0.549 (+/-0.035) | 0.623 (+/-0.026) | {'FBCSP__band': [8, 12, 16, 20, 24, 28, 32], 'FBCSP__k': 2, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6}     |
| [8, 12, 16, 20, 24, 28, 32]_2_logeuclid_6  | 0.549 (+/-0.035) | 0.623 (+/-0.026) | {'FBCSP__band': [8, 12, 16, 20, 24, 28, 32], 'FBCSP__k': 2, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6}  |
