# orig_data & Leave1Out
## FBCSP + classifier

| abbr.                                                                         | test_score       | train_score      | params                                                                                                                                                                 |
|-------------------------------------------------------------------------------|------------------|------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| [8, 12, 16]_8_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.644 (+/-0.107) | 0.823 (+/-0.016) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 12, 16]_all_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10) | 0.629 (+/-0.091) | 0.815 (+/-0.022) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)} |
| [8, 16]_all_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)     | 0.623 (+/-0.147) | 0.795 (+/-0.022) | {'FBCSP__band': [8, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 12, 16]_4_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.614 (+/-0.067) | 0.798 (+/-0.020) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 12, 16]_2_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.610 (+/-0.081) | 0.738 (+/-0.049) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 16]_4_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)       | 0.608 (+/-0.124) | 0.807 (+/-0.038) | {'FBCSP__band': [8, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}         |
| [8, 16]_2_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)       | 0.550 (+/-0.118) | 0.767 (+/-0.026) | {'FBCSP__band': [8, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}         |
| [8, 16]_8_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)       | nan (+/-nan)     | nan (+/-nan)     | {'FBCSP__band': [8, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}         |
