# ea & Leave1Out
## FBCSP + classifier train
| abbr.                                                                            | test_score       | train_score      | params                                                                                                                                                                    |
| [8, 12, 16]_2_logeuclid_2_SVC(C=0.5)                                             | 0.635 (+/-0.097) | 0.683 (+/-0.026) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 2, 'classify': SVC(C=0.5)}                                               |
| [8, 12, 16]_2_logeuclid_4_SVC(C=0.5)                                             | 0.635 (+/-0.097) | 0.683 (+/-0.026) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 4, 'classify': SVC(C=0.5)}                                               |
| [8, 12, 16]_2_riemann_6_SVC(C=0.5)                                               | 0.635 (+/-0.097) | 0.683 (+/-0.026) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                                 |
| [8, 12, 16]_2_logeuclid_6_SVC(C=0.5)                                             | 0.635 (+/-0.097) | 0.683 (+/-0.026) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                               |
| [8, 12, 16]_4_logeuclid_8_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.635 (+/-0.078) | 0.786 (+/-0.024) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 8, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 12, 16]_2_logeuclid_8_SVC(C=0.5)                                             | 0.635 (+/-0.097) | 0.683 (+/-0.026) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 8, 'classify': SVC(C=0.5)}                                               |
| [8, 12, 16]_2_riemann_8_SVC(C=0.5)                                               | 0.635 (+/-0.097) | 0.683 (+/-0.026) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 8, 'classify': SVC(C=0.5)}                                                 |
| [8, 12, 16]_4_logeuclid_4_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.635 (+/-0.070) | 0.780 (+/-0.017) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 4, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 12, 16]_2_riemann_4_SVC(C=0.5)                                               | 0.635 (+/-0.097) | 0.683 (+/-0.026) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 4, 'classify': SVC(C=0.5)}                                                 |
| [8, 12, 16]_2_riemann_2_SVC(C=0.5)                                               | 0.635 (+/-0.097) | 0.683 (+/-0.026) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 2, 'classify': SVC(C=0.5)}                                                 |
| [8, 12, 16]_4_euclid_2_RandomForestClassifier(max_depth=5, n_estimators=10)      | 0.634 (+/-0.057) | 0.783 (+/-0.014) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 2, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}        |
| [8, 12, 16]_4_riemann_6_RandomForestClassifier(max_depth=5, n_estimators=10)     | 0.634 (+/-0.069) | 0.776 (+/-0.032) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}       |
| [8, 12, 16]_all_logeuclid_2_RandomForestClassifier(max_depth=5, n_estimators=10) | 0.633 (+/-0.082) | 0.802 (+/-0.019) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 2, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)} |
| [8, 12, 16]_2_logeuclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.632 (+/-0.076) | 0.742 (+/-0.027) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 12, 16]_4_riemann_8_RandomForestClassifier(max_depth=5, n_estimators=10)     | 0.632 (+/-0.073) | 0.775 (+/-0.022) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 8, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}       |
| [8, 12, 16]_all_riemann_4_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.631 (+/-0.079) | 0.805 (+/-0.017) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 4, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}   |
| [8, 12, 16]_all_riemann_6_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.630 (+/-0.077) | 0.807 (+/-0.007) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}   |
| [8, 12, 16]_all_euclid_8_RandomForestClassifier(max_depth=5, n_estimators=10)    | 0.630 (+/-0.055) | 0.802 (+/-0.022) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 8, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}    |
| [8, 12, 16]_4_euclid_8_RandomForestClassifier(max_depth=5, n_estimators=10)      | 0.630 (+/-0.079) | 0.776 (+/-0.029) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 8, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}        |
| [8, 12, 16]_2_riemann_4_RandomForestClassifier(max_depth=5, n_estimators=10)     | 0.629 (+/-0.085) | 0.744 (+/-0.031) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 4, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}       |
| [8, 12, 16]_all_logeuclid_4_RandomForestClassifier(max_depth=5, n_estimators=10) | 0.629 (+/-0.079) | 0.809 (+/-0.014) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 4, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)} |
| [8, 12, 16]_8_euclid_4_RandomForestClassifier(max_depth=5, n_estimators=10)      | 0.627 (+/-0.090) | 0.806 (+/-0.018) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 4, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}        |
| [8, 12, 16]_4_logeuclid_2_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.627 (+/-0.066) | 0.777 (+/-0.029) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 2, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 12, 16]_4_riemann_4_RandomForestClassifier(max_depth=5, n_estimators=10)     | 0.627 (+/-0.075) | 0.778 (+/-0.033) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 4, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}       |
| [8, 12, 16]_2_logeuclid_2_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.627 (+/-0.073) | 0.742 (+/-0.035) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 2, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 12, 16]_all_euclid_2_RandomForestClassifier(max_depth=5, n_estimators=10)    | 0.627 (+/-0.078) | 0.806 (+/-0.023) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 2, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}    |
