# orig_data & Leave1Out
## FBCSP + classifier

| abbr.                                                                         | test_score       | train_score      | params                                                                                                                                                                 |
|-------------------------------------------------------------------------------|------------------|------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| [8, 12, 16]_all_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10) | 0.652 (+/-0.107) | 0.820 (+/-0.015) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)} |
| [8, 12, 16]_8_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.634 (+/-0.114) | 0.821 (+/-0.010) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 14]_all_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)     | 0.617 (+/-0.140) | 0.801 (+/-0.031) | {'FBCSP__band': [8, 14], 'FBCSP__k': 'all', 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 12, 16]_4_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.606 (+/-0.083) | 0.795 (+/-0.032) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 14]_4_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)       | 0.604 (+/-0.147) | 0.796 (+/-0.031) | {'FBCSP__band': [8, 14], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}         |
| [8, 12, 16]_2_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.586 (+/-0.064) | 0.738 (+/-0.046) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 14]_2_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)       | 0.570 (+/-0.150) | 0.748 (+/-0.029) | {'FBCSP__band': [8, 14], 'FBCSP__k': 2, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}         |
| [8, 14]_8_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)       | nan (+/-nan)     | nan (+/-nan)     | {'FBCSP__band': [8, 14], 'FBCSP__k': 8, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}         |
