# ra & Leave1Out
## FBCSP + classifier train
| abbr.                                                                            | test_score       | train_score      | params                                                                                                                                                                    |
| [8, 12, 16]_8_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)      | 0.636 (+/-0.063) | 0.813 (+/-0.023) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}        |
| [8, 12, 16]_4_riemann_8_SVC(C=0.5)                                               | 0.636 (+/-0.090) | 0.704 (+/-0.032) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 8, 'classify': SVC(C=0.5)}                                                 |
| [8, 12, 16]_4_logeuclid_2_SVC(C=0.5)                                             | 0.636 (+/-0.090) | 0.704 (+/-0.032) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 2, 'classify': SVC(C=0.5)}                                               |
| [8, 12, 16]_4_euclid_8_SVC(C=0.5)                                                | 0.636 (+/-0.090) | 0.704 (+/-0.032) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 8, 'classify': SVC(C=0.5)}                                                  |
| [8, 12, 16]_4_logeuclid_6_SVC(C=0.5)                                             | 0.636 (+/-0.090) | 0.704 (+/-0.032) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                               |
| [8, 12, 16]_4_euclid_6_SVC(C=0.5)                                                | 0.636 (+/-0.090) | 0.704 (+/-0.032) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                                  |
| [8, 12, 16]_4_logeuclid_8_SVC(C=0.5)                                             | 0.636 (+/-0.090) | 0.704 (+/-0.032) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 8, 'classify': SVC(C=0.5)}                                               |
| [8, 12, 16]_4_logeuclid_4_SVC(C=0.5)                                             | 0.636 (+/-0.090) | 0.704 (+/-0.032) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 4, 'classify': SVC(C=0.5)}                                               |
| [8, 12, 16]_4_riemann_2_SVC(C=0.5)                                               | 0.636 (+/-0.090) | 0.704 (+/-0.032) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 2, 'classify': SVC(C=0.5)}                                                 |
| [8, 12, 16]_4_euclid_4_SVC(C=0.5)                                                | 0.636 (+/-0.090) | 0.704 (+/-0.032) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 4, 'classify': SVC(C=0.5)}                                                  |
| [8, 12, 16]_4_riemann_4_SVC(C=0.5)                                               | 0.636 (+/-0.090) | 0.704 (+/-0.032) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 4, 'classify': SVC(C=0.5)}                                                 |
| [8, 12, 16]_4_riemann_6_SVC(C=0.5)                                               | 0.636 (+/-0.090) | 0.704 (+/-0.032) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                                 |
| [8, 12, 16]_4_euclid_2_SVC(C=0.5)                                                | 0.636 (+/-0.090) | 0.704 (+/-0.032) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 2, 'classify': SVC(C=0.5)}                                                  |
| [8, 12, 16]_8_logeuclid_4_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.635 (+/-0.077) | 0.812 (+/-0.022) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 4, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 12, 16]_8_riemann_4_RandomForestClassifier(max_depth=5, n_estimators=10)     | 0.635 (+/-0.074) | 0.811 (+/-0.006) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 4, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}       |
| [8, 12, 16]_8_logeuclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.634 (+/-0.082) | 0.799 (+/-0.022) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 12, 16]_all_riemann_6_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.631 (+/-0.069) | 0.807 (+/-0.013) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}   |
| [8, 12, 16]_2_riemann_4_RandomForestClassifier(max_depth=5, n_estimators=10)     | 0.631 (+/-0.079) | 0.743 (+/-0.036) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 4, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}       |
| [8, 12, 16]_8_euclid_2_RandomForestClassifier(max_depth=5, n_estimators=10)      | 0.630 (+/-0.081) | 0.813 (+/-0.024) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 2, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}        |
| [8, 12, 16]_all_riemann_4_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.629 (+/-0.099) | 0.810 (+/-0.020) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 4, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}   |
| [8, 12, 16]_4_riemann_8_RandomForestClassifier(max_depth=5, n_estimators=10)     | 0.629 (+/-0.092) | 0.777 (+/-0.029) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 8, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}       |
| [8, 12, 16]_2_logeuclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.629 (+/-0.082) | 0.747 (+/-0.030) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 12, 16]_4_riemann_6_RandomForestClassifier(max_depth=5, n_estimators=10)     | 0.629 (+/-0.084) | 0.774 (+/-0.033) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}       |
| [8, 12, 16]_4_euclid_2_RandomForestClassifier(max_depth=5, n_estimators=10)      | 0.628 (+/-0.087) | 0.780 (+/-0.036) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 2, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}        |
| [8, 12, 16]_4_logeuclid_4_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.626 (+/-0.099) | 0.787 (+/-0.033) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 4, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 12, 16]_4_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)      | 0.626 (+/-0.105) | 0.780 (+/-0.026) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}        |
| [8, 12, 16]_all_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)    | 0.625 (+/-0.081) | 0.820 (+/-0.028) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}    |
| [8, 12, 16]_2_riemann_6_RandomForestClassifier(max_depth=5, n_estimators=10)     | 0.625 (+/-0.071) | 0.744 (+/-0.033) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}       |
| [8, 12, 16]_4_logeuclid_8_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.625 (+/-0.091) | 0.787 (+/-0.021) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 8, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 12, 16]_2_riemann_2_RandomForestClassifier(max_depth=5, n_estimators=10)     | 0.624 (+/-0.088) | 0.750 (+/-0.036) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 2, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}       |
| [8, 12, 16]_8_riemann_8_RandomForestClassifier(max_depth=5, n_estimators=10)     | 0.624 (+/-0.062) | 0.808 (+/-0.013) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 8, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}       |
| [8, 12, 16]_8_euclid_4_RandomForestClassifier(max_depth=5, n_estimators=10)      | 0.624 (+/-0.090) | 0.809 (+/-0.016) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 4, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}        |
| [8, 12, 16]_4_riemann_2_RandomForestClassifier(max_depth=5, n_estimators=10)     | 0.623 (+/-0.095) | 0.783 (+/-0.031) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 2, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}       |
| [8, 12, 16]_8_logeuclid_8_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.623 (+/-0.096) | 0.804 (+/-0.027) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 8, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 12, 16]_all_logeuclid_2_RandomForestClassifier(max_depth=5, n_estimators=10) | 0.623 (+/-0.080) | 0.796 (+/-0.016) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 2, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)} |
| [8, 12, 16]_4_riemann_4_RandomForestClassifier(max_depth=5, n_estimators=10)     | 0.623 (+/-0.084) | 0.781 (+/-0.035) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 4, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}       |
| [8, 12, 16]_4_logeuclid_2_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.621 (+/-0.076) | 0.773 (+/-0.038) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 2, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 12, 16]_all_euclid_8_RandomForestClassifier(max_depth=5, n_estimators=10)    | 0.621 (+/-0.054) | 0.810 (+/-0.009) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 8, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}    |
| [8, 12, 16]_2_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)      | 0.621 (+/-0.074) | 0.743 (+/-0.032) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}        |
| [8, 12, 16]_2_euclid_4_RandomForestClassifier(max_depth=5, n_estimators=10)      | 0.620 (+/-0.075) | 0.749 (+/-0.036) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 4, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}        |
| [8, 12, 16]_8_logeuclid_2_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.618 (+/-0.068) | 0.816 (+/-0.023) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 2, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
